ts_code,symbol,name,area,industry,list_date
000973.SZ,973,佛塑科技,广东,塑料,20000525
000975.SZ,975,山金国际,内蒙,黄金,20000608
000977.SZ,977,浪潮信息,山东,IT设备,20000608
000978.SZ,978,桂林旅游,广西,旅游景点,20000518
000980.SZ,980,众泰汽车,浙江,汽车配件,20000616
000981.SZ,981,山子高科,甘肃,汽车配件,20000622
000983.SZ,983,山西焦煤,山西,煤炭开采,20000726
000985.SZ,985,大庆华科,黑龙江,化工原料,20000726
000987.SZ,987,越秀资本,广东,多元金融,20000718
000988.SZ,988,华工科技,湖北,专用机械,20000608
000989.SZ,989,九芝堂,湖南,中成药,20000628
000990.SZ,990,诚志股份,江西,化工原料,20000706
000993.SZ,993,闽东电力,福建,水力发电,20000731
000995.SZ,995,皇台酒业,甘肃,白酒,20000807
000997.SZ,997,新大陆,福建,IT设备,20000807
000998.SZ,998,隆平高科,湖南,种植业,20001211
000999.SZ,999,华润三九,深圳,中成药,20000309
002001.SZ,2001,新和成,浙江,化学制药,20040625
002181.SZ,2181,粤传媒,广东,出版业,20071116
600000.SH,600000,浦发银行,上海,银行,19991110
600004.SH,600004,白云机场,广东,机场,20030428
600006.SH,600006,东风股份,湖北,汽车整车,19990727
600007.SH,600007,中国国贸,北京,园区开发,19990312
600008.SH,600008,首创环保,北京,水务,20000427
600009.SH,600009,上海机场,上海,机场,19980218
600010.SH,600010,包钢股份,内蒙,普钢,20010309
600011.SH,600011,华能国际,北京,火力发电,20011206
600012.SH,600012,皖通高速,安徽,路桥,20030107
600015.SH,600015,华夏银行,北京,银行,20030912
600016.SH,600016,民生银行,北京,银行,20001219
600019.SH,600019,宝钢股份,上海,普钢,20001212
600020.SH,600020,中原高速,河南,路桥,20030808
600021.SH,600021,上海电力,上海,火力发电,20031029
600026.SH,600026,中远海能,上海,水运,20020523
600028.SH,600028,中国石化,北京,石油加工,20010808
600029.SH,600029,南方航空,广东,空运,20030725
600030.SH,600030,中信证券,深圳,证券,20030106
600031.SH,600031,三一重工,北京,工程机械,20030703
600033.SH,600033,福建高速,福建,路桥,20010209
600035.SH,600035,楚天高速,湖北,路桥,20040310
600036.SH,600036,招商银行,深圳,银行,20020409
600037.SH,600037,歌华有线,北京,影视音像,20010208
600038.SH,600038,中直股份,黑龙江,航空,20001218
600039.SH,600039,四川路桥,四川,建筑工程,20030325
600050.SH,600050,中国联通,北京,电信运营,20021009
600051.SH,600051,宁波联合,浙江,综合类,19970410
600052.SH,600052,东望时代,浙江,供气供热,19970415
600054.SH,600054,黄山旅游,安徽,旅游景点,19970506
600055.SH,600055,万东医疗,北京,医疗保健,19970519
600056.SH,600056,中国医药,北京,医药商业,19970515
600057.SH,600057,厦门象屿,福建,仓储物流,19970604
600058.SH,600058,五矿发展,北京,商贸代理,19970528
600059.SH,600059,古越龙山,浙江,红黄酒,19970516
600060.SH,600060,海信视像,山东,家用电器,19970422
600061.SH,600061,国投资本,上海,证券,19970519
600062.SH,600062,华润双鹤,北京,化学制药,19970522
600063.SH,600063,皖维高新,安徽,化纤,19970528
600064.SH,600064,南京高科,江苏,园区开发,19970506
600066.SH,600066,宇通客车,河南,汽车整车,19970508
600067.SH,600067,冠城新材,福建,电气设备,19970508
600071.SH,600071,凤凰光学,江西,元器件,19970528
600072.SH,600072,中船科技,上海,电气设备,19970603
600073.SH,600073,光明肉业,上海,食品,19970704
600075.SH,600075,新疆天业,新疆,化工原料,19970617
600076.SH,600076,康欣新材,山东,广告包装,19970526
600078.SH,600078,澄星股份,江苏,化工原料,19970627
600081.SH,600081,东风科技,上海,汽车配件,19970703
600085.SH,600085,同仁堂,北京,中成药,19970625
600088.SH,600088,中视传媒,上海,影视音像,19970616
600089.SH,600089,特变电工,新疆,电气设备,19970618
600094.SH,600094,大名城,上海,区域地产,19970703
600095.SH,600095,湘财股份,黑龙江,证券,19970708
600096.SH,600096,云天化,云南,农药化肥,19970709
600097.SH,600097,开创国际,上海,渔业,19970619
600098.SH,600098,广州发展,广东,火力发电,19970718
600099.SH,600099,林海股份,江苏,汽车整车,19970704
600100.SH,600100,同方股份,北京,IT设备,19970627
600101.SH,600101,明星电力,四川,水力发电,19970627
600103.SH,600103,青山纸业,福建,造纸,19970703
600104.SH,600104,上汽集团,上海,汽车整车,19971125
600105.SH,600105,永鼎股份,江苏,通信设备,19970929
600106.SH,600106,重庆路桥,重庆,路桥,19970618
600108.SH,600108,亚盛集团,甘肃,种植业,19970818
600109.SH,600109,国金证券,四川,证券,19970807
600110.SH,600110,诺德股份,吉林,电气设备,19971007
600111.SH,600111,北方稀土,内蒙,小金属,19970924
600113.SH,600113,浙江东日,浙江,区域地产,19971021
600114.SH,600114,东睦股份,浙江,机械基件,20040511
600115.SH,600115,中国东航,上海,空运,19971105
600116.SH,600116,三峡水利,重庆,水力发电,19970804
600117.SH,600117,西宁特钢,青海,特种钢,19971015
600118.SH,600118,中国卫星,北京,航空,19970908
600120.SH,600120,浙江东方,浙江,多元金融,19971201
600121.SH,600121,郑州煤电,河南,煤炭开采,19980107
600123.SH,600123,兰花科创,山西,煤炭开采,19981217
600125.SH,600125,铁龙物流,辽宁,铁路,19980511
600126.SH,600126,杭钢股份,浙江,普钢,19980311
600127.SH,600127,金健米业,湖南,农业综合,19980506
600128.SH,600128,苏豪弘业,江苏,商贸代理,19970901
600129.SH,600129,太极集团,重庆,中成药,19971118
600130.SH,600130,波导股份,浙江,元器件,20000706
600131.SH,600131,国网信通,四川,通信设备,19980402
600132.SH,600132,重庆啤酒,重庆,啤酒,19971030
600133.SH,600133,东湖高新,湖北,环境保护,19980212
600135.SH,600135,乐凯胶片,河北,塑料,19980122
600137.SH,600137,浪莎股份,四川,服饰,19980416
600138.SH,600138,中青旅,北京,旅游景点,19971203
600141.SH,600141,兴发集团,湖北,农药化肥,19990616
600148.SH,600148,长春一东,吉林,汽车配件,19980520
600149.SH,600149,廊坊发展,河北,综合类,19991014
600150.SH,600150,中国船舶,上海,船舶,19980520
600151.SH,600151,航天机电,上海,汽车配件,19980605
600152.SH,600152,维科技术,浙江,电气设备,19980609
600153.SH,600153,建发股份,福建,仓储物流,19980616
600155.SH,600155,华创云信,北京,证券,19980918
600156.SH,600156,华升股份,湖南,纺织,19980527
600157.SH,600157,永泰能源,山西,火力发电,19980513
600158.SH,600158,中体产业,天津,文教休闲,19980327
600159.SH,600159,大龙地产,北京,区域地产,19980526
600160.SH,600160,巨化股份,浙江,化工原料,19980626
600161.SH,600161,天坛生物,北京,生物制药,19980616
600162.SH,600162,香江控股,深圳,全国地产,19980609
600163.SH,600163,中闽能源,福建,新型电力,19980602
600166.SH,600166,福田汽车,北京,汽车整车,19980602
600167.SH,600167,联美控股,辽宁,供气供热,19990128
600168.SH,600168,武汉控股,湖北,水务,19980427
600170.SH,600170,上海建工,上海,建筑工程,19980623
600171.SH,600171,上海贝岭,上海,半导体,19980924
600172.SH,600172,黄河旋风,河南,矿物制品,19981126
600173.SH,600173,卧龙新能,浙江,全国地产,19990415
600176.SH,600176,中国巨石,浙江,玻璃,19990422
600177.SH,600177,雅戈尔,浙江,服饰,19981119
600178.SH,600178,东安动力,黑龙江,汽车配件,19981014
600179.SH,600179,安通控股,福建,水运,19981104
600182.SH,600182,S佳通,黑龙江,汽车配件,19990507
600183.SH,600183,生益科技,广东,元器件,19981028
600184.SH,600184,光电股份,湖北,专用机械,20031106
600185.SH,600185,珠免集团,广东,旅游服务,19990611
600186.SH,600186,莲花控股,河南,食品,19980825
600188.SH,600188,兖矿能源,山东,煤炭开采,19980701
600189.SH,600189,泉阳泉,吉林,软饮料,19981007
600191.SH,600191,华资实业,内蒙,食品,19981210
600192.SH,600192,长城电工,甘肃,电气设备,19981224
600195.SH,600195,中牧股份,北京,农业综合,19990107
600196.SH,600196,复星医药,上海,化学制药,19980807
600197.SH,600197,伊力特,新疆,白酒,19990916
600198.SH,600198,大唐电信,北京,通信设备,19981021
600199.SH,600199,金种子酒,安徽,白酒,19980812
